PROTEINS,LE8z_revTOTAL,LE8z_revLIFESTYLE,LE8z_revBIOLOGICAL,LE8z_revDIET,LE8z_revPA,LE8z_revSMOKING,LE8z_revSLEEP,LE8z_revBMI,LE8z_revLIPIDS,LE8z_revGLUCOSE,LE8z_revBP
LEP,0.43,0.18,0.47,0.1,0.14,0,0.05,0.51,0.14,0.12,0.13
CPM,0.37,0.14,0.42,0.08,0.11,0.01,0.08,0.33,0.18,0.15,0.15
F9,0.35,0.16,0.37,0.1,0.1,0.04,0.05,0.3,0.17,0.1,0.13
FGF21,0.32,0.17,0.31,0.06,0.1,0.09,0.08,0.25,0.14,0.13,0.12
PRSS8,0.28,0.19,0.23,0.08,0.11,0.15,0.07,0.2,0.06,0.12,0.1
LILRA5,0.26,0.11,0.28,0.09,0.06,0.05,0.03,0.25,0.07,0.1,0.13
CA14,-0.23,-0.15,-0.19,-0.09,-0.14,-0.02,-0.03,-0.27,0.01,-0.12,-0.1
VWA1,0.24,0.11,0.24,0.05,0.06,0.07,0.03,0.2,0.11,0.09,0.11
BAIAP2,0.23,0.11,0.24,0.08,0.05,0.03,0.06,0.18,0.12,0.09,0.07
WFIKKN2,-0.22,-0.1,-0.23,-0.05,-0.06,-0.05,-0.03,-0.3,-0.03,-0.1,-0.08
